ace,pro_com,LUM5_single,RNR_nres,nig_rat_daily,hType_mix,hType_mix2,hType_mix3,mdist_nres_daily,ratio_daily_nondaily,area,area_filtr,nig_rat_daily3,den_nres_daily,den_nres_non-daily,num_community_places,num_community_places_poi,sphi,avg_block_area,num_intersect,bld_entr_age,bld_avg_age,bld_std_age,bld_entr_interiors,enterprises_entr_size,enterprises_empl_size,pop_rat_num,bld_rat_int,emp_rat_pop,emp_rat_num,bld_rat_area,bor_rat_area,mdist_parks,mdist_smallparks,mdist_railways,mdist_water,mdist_highways
44,82053,0.881035569082,0.768136436191,0.106796116505,0.888082968515,2.82146160962,2.01984564498,215.867908803,0.36,3514610.0,3454777.3227,3.18399681731e-06,1.38938042937e-05,7.81526491521e-06,107.0,0.644578313253,0.331128930112,10.2399892781,236.0,0.873917524138,37.3897937025,11.0753192252,1.60827468912,0.521058294821,12.7511415525,0.00440346759834,6.16281,1.36195165622,0.00323320404085,0.209301152421,0.0471057612149,1441.5338411,1530.80678132,487.026169828,4040.35187926,503.918532967
46,82053,0.760857587351,0.338035261501,0.0769230769231,0.887335558181,2.38532763533,1.8863456985,155.20662418,0.259259259259,2871520.0,2626053.37515,1.14239871451e-06,7.61599143006e-06,2.66559700052e-06,25.0,0.531914893617,0.38533348804,10.1243378188,196.0,0.912788294005,44.9440242057,10.261785854,1.5316453707,0.321879069612,4.9768115942,0.00464385077448,3.71866,7.10250436808,0.000653832864271,0.159187156174,0.0158917802695,599.712328791,767.80196491,1259.34931809,2715.44420524,1669.91610874
47,82053,0.780755911835,0.50955931782,0.0,0.971067632294,3.58389261745,1.80612244898,267.403577004,0.675675675676,1251830.0,1168652.05042,0.0,1.02682402309e-05,2.13921671476e-05,45.0,0.9375,0.355403615061,9.48126360178,156.0,0.77723410483,46.0856164384,12.2247118884,1.61790460977,0.60743896263,3.25,0.0127651339803,30.4564,37.017369727,0.00034484173442,0.203779952544,0.0,1776.13666193,1867.08830908,1322.92969535,2489.61384928,1502.93910821
48,82053,0.568620279075,0.264078913841,0.129411764706,0.875605472054,2.50774091627,2.06833159903,176.287560989,0.12987012987,5953540.0,5845052.892,1.88193335514e-06,1.14626849813e-05,1.71084850467e-06,95.0,0.791666666667,0.338626804441,9.9609775586,290.0,0.953862249048,40.7377467665,9.59760409346,1.42173813339,0.295454332453,5.64937388193,0.00370398701261,3.02938,6.85560481317,0.000540285957775,0.146002571024,0.0397231592595,3875.05547888,2696.77486075,374.493061284,1824.16412088,428.247263587
50,82053,0.432980267648,0.254690452055,0.214285714286,0.727695360287,1.98947562777,1.87594410876,210.557995978,0.12962962963,8951000.0,8913142.65488,2.69265296532e-06,1.05462241142e-05,1.57071422977e-06,130.0,0.764705882353,0.381533480614,9.80501812644,682.0,0.921925747471,41.2622309198,10.0824930261,1.21716880258,0.400422233377,4.05790960452,0.00211148870031,2.14088,6.55064392621,0.000322332998724,0.14341221155,9.94472370534e-05,2990.39433797,1399.06421716,2652.13653577,1342.81804493,2916.69087697
51,82053,0.912161980231,0.749123621049,0.109090909091,0.983370773402,3.08198924731,1.88596491228,40.1704409322,0.214285714286,1353560.0,1336921.798,4.48792143936e-06,2.46835679165e-05,6.73188215904e-06,45.0,0.642857142857,0.419039544988,9.03977827931,183.0,0.609949957959,66.7209131075,15.7558988482,1.71912951898,0.463273953927,8.72350230415,0.00842008860714,6.70565,2.97332276809,0.00283187842823,0.192048022467,0.0374332534091,1455.60033428,1330.02276087,716.516028604,609.66242434,3021.27693488
52,82053,0.918515540653,0.756024312687,0.142857142857,0.944363419213,3.55509355509,1.821875,99.9733390351,0.196428571429,1428840.0,1335081.00125,7.4901822366e-06,3.37058200647e-05,8.23920046026e-06,67.0,0.650485436893,0.405154578344,10.0545717916,135.0,0.873270074589,43.4725877193,10.5306606064,1.69779140846,0.37661193629,6.54329371817,0.0119341073576,13.9647,4.13414634146,0.00288671623399,0.183965464751,0.0395228975496,781.399621644,998.620819384,595.657133114,1184.89705179,2449.90514384
54,82053,0.690600531319,0.421194593915,0.318181818182,0.314616013888,1.30414746544,1.08612440191,173.099224782,0.263157894737,1319850.0,1314128.63682,5.32672358234e-06,1.06534471647e-05,3.80480255881e-06,17.0,0.586206896552,0.229119500837,10.308668827,59.0,0.34992594045,61.7985781991,18.4511604841,1.59643048292,0.300928502486,5.40101522843,0.00684940556638,4.99386,8.45958646617,0.000809661984515,0.141583016808,0.0,1649.59848749,2597.11229889,2278.51423377,2113.42263388,3802.46738957
62,82053,0.690367899985,0.545707061271,0.0175438596491,0.871753458912,3.05178791615,2.01246105919,136.325187429,0.270833333333,2027910.0,1924395.18067,5.19643787329e-07,1.81875325565e-05,6.75536923527e-06,74.0,0.840909090909,0.331818331486,10.2868804308,80.0,0.925055841795,44.1177419355,9.77874855841,1.58951565964,0.352598662046,8.04278074866,0.00732541846997,6.97781,4.68650265957,0.00156308851228,0.159083878964,0.0539883853966,641.434504729,1470.30965229,3337.82496471,5238.70509657,1753.9567887
63,82053,0.859654171581,0.947232266938,0.0869565217391,0.935382554808,3.89393939394,2.01519756839,57.2359569512,0.369369369369,1991150.0,1902800.53894,6.30649390436e-06,3.67878811087e-05,2.15471875065e-05,133.0,0.648780487805,0.396207508779,9.8478922741,163.0,0.851613802756,45.919057377,11.2566991701,1.66982798158,0.400607578327,10.085413929,0.00750262558155,12.1212,1.86006514658,0.00403352839299,0.186222931148,0.0743145882514,606.958361068,1111.59284571,613.264376021,3437.77537121,692.327636777
