ace,pro_com,LUM5_single,RNR_nres,nig_rat_daily,hType_mix,hType_mix2,hType_mix3,mdist_nres_daily,ratio_daily_nondaily,area,area_filtr,nig_rat_daily3,den_nres_daily,den_nres_non-daily,num_community_places,num_community_places_poi,sphi,avg_block_area,num_intersect,bld_entr_age,bld_avg_age,bld_std_age,bld_entr_interiors,enterprises_entr_size,enterprises_empl_size,pop_rat_num,bld_rat_int,emp_rat_pop,emp_rat_num,bld_rat_area,bor_rat_area,mdist_parks,mdist_smallparks,mdist_railways,mdist_water,mdist_highways,temp_pois,temp_comm,temp_tot_pois,third_places_segr,activity_density
138,1272,0.772777491595,0.936300199896,0.104166666667,0.6948012421950001,5.3951048951,2.09090909091,0.020255591109251438,0.315789473684,837885.0,778762.817875,6.4204400688300004e-06,3.33862883579e-05,1.54090561652e-05,5.6499872605708417e-05,0.619718309859,0.473681346386,9.2619551626,0.00014767012158310152,0.704378916586,51.236135957100004,13.337240216600001,1.60778908855,0.218059525911,3.8259493670899998,0.020775259974700002,15.6136,6.69106699752,0.00310492481729,0.0129434378898,0.11448249931500001,0.002629708063566181,0.0032284126292919367,0.0019468377362890537,0.0009016139445876875,0.0012851202873903353,71.00000000001775,8051.0,12563.99999999979,0.9671023282906902,0.0029329035926913155
140,1272,0.662671110065,0.9476254584280001,0.0952380952381,0.837996998852,4.80552070263,2.04532577904,0.026321744972893458,0.212121212121,1184750.0,1129855.14783,7.080553658e-06,4.6023598777e-05,1.23909689015e-05,7.346074420195351e-05,0.691666666667,0.415201906933,9.276964129360001,0.00018320932590125757,0.775564590466,52.99667110520001,12.1978152577,1.6917391964700002,0.279194862941,5.0464362850999995,0.0198414814881,15.0866,4.797346458380001,0.00413592840548,0.0300595743701,0.0,0.0011506298844234833,0.0036396444186586768,0.0009634720942057358,0.0010430077594021368,0.0006252553261699809,119.99999999994216,8051.0,12563.99999999979,1.0793814432994713,0.004513561556191012
142,1272,0.646459342345,0.861110138207,0.127906976744,0.748384017149,5.25339366516,2.21487603306,0.03338650069700957,0.144736842105,1155390.0,1127247.40066,9.758283757060001e-06,5.76625858372e-05,9.758283757060001e-06,9.58086041598023e-05,0.8,0.37506781699,9.30325361492,0.00020314972548698818,0.7305573689470001,51.1855500821,13.958219045999998,1.58446878691,0.26086142781599997,6.1717877095,0.0163229473754,16.1342,4.1638379723900005,0.00392016872022,0.0820930521851,0.0156190429493,0.0020946696219724197,0.005625772052461946,0.002080040415739401,0.0019278508300462603,0.0006253645742577951,135.0,8051.0,12563.99999999979,1.248441187430112,0.0040352301127301315
148,1272,0.8331065216719999,0.803635294897,0.0579710144928,0.800039932242,4.979729729730001,2.26898734177,0.02526947854804417,0.309090909091,966304.0,893504.98919,4.47675172315e-06,4.25291413699e-05,1.90261948234e-05,6.267452412410855e-05,0.6021505376340001,0.37831956155,8.979569867110001,0.0002406254051193453,0.7883228289859999,55.26875,12.762418103900002,1.6705063035799999,0.16197468578,4.32334581773,0.021733510428,14.4095,5.607565694480001,0.00387574780432,0.130600269276,0.0,0.0009375134444672153,0.009388935849635216,0.001972462537258349,0.0009319836854426566,0.000596901702328525,93.0000000000631,8051.0,12563.99999999979,0.9396869152693393,0.0037821430600108188
153,1272,0.9841018866779999,0.99675419924,0.05952380952380001,0.859400629185,2.6766917293200003,1.92945326279,0.008117020187988403,0.21126760563400002,4530810.0,3910410.67665,1.2786380801e-06,1.43207464971e-05,3.83591424031e-06,1.866811596948129e-05,0.675925925926,0.36996449574900003,10.0845991125,6.316472115701204e-05,0.8155840137270001,49.25,11.546140512100001,1.68328671877,0.37129987884000004,5.42630385488,0.0036937296858000003,6.3022599999999995,3.01796907647,0.00122391237027,0.035558317654499995,0.100878838118,0.000990307940834575,0.002598701021581097,0.0005575409835234911,0.0022086363615361334,0.000380457191633431,107.99999999998816,8051.0,12563.99999999979,1.054817206972317,0.0010834979491053656
154,1272,0.899481074972,0.8264207697229999,0.0862068965517,0.790206706831,5.051612903230001,2.3538461538499997,0.009116525719711404,0.424242424242,1495370.0,1406942.0566,3.5538066237699997e-06,1.35044651703e-05,9.95065854655e-06,2.9141214314880974e-05,0.506172839506,0.333640070127,9.346832262889999,0.00015992129806946878,0.6901612940180001,49.6837748344,13.3340084194,1.36748218072,0.4292273245,8.75226039783,0.0101390102976,25.1161,2.94731404959,0.0034400848118100002,0.114051860645,0.0745838391621,0.0016458589061709148,0.011558275093814324,0.006757061407636237,0.0011781699030464006,0.0006250927711706842,81.00000000002765,8051.0,12563.99999999979,0.7899087759971779,0.002045399342169327
157,1272,0.616466067908,0.70789962183,0.11650485436899999,0.936828355607,2.7917997870099995,1.9885859226400002,0.0035763800281809898,0.213483146067,8321030.0,7861594.448030001,1.52640791627e-06,8.90404617825e-06,2.4168125341e-06,1.3864871906145424e-05,0.721854304636,0.332217400522,9.80400426418,3.8414599226201084e-05,0.840440174204,56.105984138400004,11.5584151427,1.6938833891499998,0.268271773896,3.4517543859599997,0.00160705313451,5.222580000000001,4.0133418043199995,0.00040042767670199996,0.0249152741908,0.0193524105972,0.0008065392102942993,0.001112521281429049,0.0003763001615188524,0.0009897635491550817,0.00019305822744822548,150.99999999995012,8051.0,12563.99999999979,1.1264908065391321,0.0014120856138899159
158,1272,0.595538342772,0.65071592442,0.0450819672131,0.533330127118,5.98633257403,2.1630434782599997,0.026051179543000125,0.33823529411799996,1890830.0,1880587.11961,5.84923712671e-06,7.17860920096e-05,3.66906692493e-05,0.00012549272380901034,0.74213836478,0.430421270822,9.267686638010002,0.00011379424955562801,0.729802139585,58.4648910412,12.7304448574,1.32675754813,0.549912537055,13.4239631336,0.00796878796189,20.4123,1.2861311362899999,0.006195937363670001,0.179304425854,0.17902340511,0.0014996066667382563,0.004191266054808434,0.003784110490684163,0.0013562396962179815,0.00021148467050963768,317.9999999999461,8051.0,12563.99999999979,1.158145126704231,0.004780023480818165
160,1272,0.648282071616,0.769812708899,0.06666666666669999,0.219657591489,6.69387755102,2.2,0.036598811472306016,0.23684210526299998,663299.0,593357.526722,1.01119472321e-05,9.77488232439e-05,3.03358416964e-05,0.00016010583117539087,0.748031496063,0.41439130318499995,9.101810319,0.00025616932988062536,0.8349752663560001,47.588983050799996,11.7102163662,1.12708077457,0.30460622334000004,3.78320802005,0.026965192619,24.4439,5.29976813514,0.0050879947823,0.27037793240200003,0.0,0.0009591013280434846,0.004899525105373902,0.0024087955475689342,0.0006196272582639145,0.0002579975894956628,126.99999999999866,8051.0,12563.99999999979,1.1673416614750187,0.0058881456385854606
1,15146,0.534295657584,0.757967245161,0.150885766646,0.625895183883,5.71312217195,2.21212121212,0.05875301192241564,0.692456479691,2341620.0,2278526.7296,0.000108403380479,0.00013956386636500002,0.000314238139363,0.0007535571023568474,0.605857445307,0.412126797613,9.137174436210001,0.00043229688166656645,0.691212233001,60.3763040238,13.6591890904,1.6641242645899998,0.591636752446,14.6699625468,0.00682721856974,10.9267,0.158861134372,0.042976015478699996,0.5774438512860001,0.042136506725,0.0012146372429083629,0.0039584923003696815,0.0008482854574087313,0.0007287931990150687,0.0003183937124482523,2833.9999999999372,18013.0,31080.000000000447,1.0453588741543236,0.0294752733747346
2,15146,0.7167810177889999,0.9664630995669999,0.178149606299,0.396246236517,6.340153452690001,2.26605504587,0.07106352764055798,0.553627760252,2053200.0,1643657.6080399998,0.00011012025808499998,0.00017217697811099998,0.00021354812479400004,0.000582238049651464,0.5803517283199999,0.41620426448,9.41311095058,0.00035773873897080547,0.704715320484,59.0144444444,12.9459709707,1.53746379559,0.566923716714,11.5319429778,0.009370564723879999,13.8056,0.352585674061,0.026576702949799996,0.534747357481,0.18499293148899998,0.0032254141361158554,0.003904255065741807,0.0010237114507606277,0.0004655858083357619,0.00026796512817493903,1649.0000000005516,18013.0,31080.000000000447,1.0013507864423394,0.031034154176809946
3,15146,0.564232631527,0.913785129276,0.281531531532,0.5044067601359999,6.0375782881,1.9891304347799998,0.052786577403414026,0.415094339623,1251110.0,1225413.7588,0.00010200636242499999,0.000126487889406,8.97655989336e-05,0.00030438698547441184,0.508867667121,0.401292807493,9.3319538951,0.00034274137774598654,0.81271779387,57.987394958,12.4690943093,1.4549929875,0.569328688812,12.5467128028,0.010545009721999999,17.8998,0.593951093951,0.0177540033673,0.36196389020900005,0.0446163914612,0.001002299852398309,0.0070081656695135065,0.0019416241893430888,0.000560785750073465,0.0002671044048806346,733.0000000006033,18013.0,31080.000000000447,0.8780107197091493,0.019395559618715783
